DATE TIME; v1_pre; v2_pre; v3_pre; ORIENT; SP
2019-07-05 02:10:00; 14498.379; 2709.583; 50391.227; XYZ; 0000
2019-07-05 02:11:00; 14498.366; 2711.936; 50391.098; XYZ; 0000
2019-07-05 02:12:00; 14498.647; 2714.151; 50391.055; XYZ; 0000
2019-07-05 02:13:00; 14499.259; 2716.478; 50390.195; XYZ; 0000
2019-07-05 02:14:00; 14500.281; 2718.927; 50390.055; XYZ; 0000
2019-07-05 02:15:00; 14501.078; 2719.137; 50390.023; XYZ; 0000
2019-07-05 02:16:00; 14501.019; 2719.08; 50389.855; XYZ; 0000
2019-07-05 02:17:00; 14500.757; 2719.165; 50389.44; XYZ; 0000
2019-07-05 02:18:00; 14501.179; 2719.44; 50389.41; XYZ; 0000
2019-07-05 02:19:00; 14501.313; 2720.089; 50389.562; XYZ; 0000
2019-07-05 02:20:00; 14500.965; 2720.209; 50389.613; XYZ; 0000
2019-07-05 02:21:00; 14500.407; 2719.727; 50389.56; XYZ; 0000
2019-07-05 02:22:00; 14500.222; 2719.707; 50389.293; XYZ; 0000
2019-07-05 02:23:00; 14500.56; 2720.052; 50389.24; XYZ; 0000
2019-07-05 02:24:00; 14500.466; 2720.117; 50389.37; XYZ; 0000
2019-07-05 02:25:00; 14500.345; 2719.914; 50388.895; XYZ; 0000
2019-07-05 02:26:00; 14500.321; 2720.355; 50389.0; XYZ; 0000
2019-07-05 02:27:00; 14500.845; 2720.578; 50389.016; XYZ; 0000
2019-07-05 02:28:00; 14501.541; 2721.528; 50388.555; XYZ; 0000
2019-07-05 02:29:00; 14501.81; 2722.461; 50388.188; XYZ; 0000
2019-07-05 02:30:00; 14502.372; 2722.941; 50388.266; XYZ; 0000
2019-07-05 02:31:00; 14502.751; 2723.58; 50388.605; XYZ; 0000
2019-07-05 02:32:00; 14502.752; 2723.175; 50388.566; XYZ; 0000
2019-07-05 02:33:00; 14502.438; 2723.129; 50388.625; XYZ; 0000
2019-07-05 02:34:00; 14502.124; 2724.208; 50387.816; XYZ; 0000
2019-07-05 02:35:00; 14502.221; 2725.706; 50388.07; XYZ; 0000
2019-07-05 02:36:00; 14502.982; 2727.914; 50387.26; XYZ; 0000
2019-07-05 02:37:00; 14504.62; 2729.163; 50387.516; XYZ; 0000
2019-07-05 02:38:00; 14504.609; 2729.863; 50387.54; XYZ; 0000
2019-07-05 02:39:00; 14505.134; 2729.237; 50387.195; XYZ; 0000
2019-07-05 02:40:00; 14505.904; 2726.664; 50387.207; XYZ; 0000
2019-07-05 02:41:00; 14505.493; 2727.19; 50387.37; XYZ; 0000
2019-07-05 02:42:00; 14505.414; 2725.859; 50387.566; XYZ; 0000
2019-07-05 02:43:00; 14504.724; 2725.721; 50387.707; XYZ; 0000
2019-07-05 02:44:00; 14504.525; 2724.523; 50387.797; XYZ; 0000
2019-07-05 02:45:00; 14505.489; 2724.109; 50387.906; XYZ; 0000
2019-07-05 02:46:00; 14505.449; 2724.997; 50387.594; XYZ; 0000
